,Unnamed: 0,Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume,Stock
206,206,2017-03-06,139.365,139.77,138.5959,139.34,21750044.0,0.0,1.0,138.23612371168002,138.63784315417,137.47325353088002,138.21132621523,21750044.0,AAPL
2333,72,2017-03-06,45.61,45.69,45.39,45.64,6694863.0,0.0,1.0,45.61,45.69,45.39,45.64,6694863.0,YHOO
960,207,2017-03-06,247.91,251.7,247.51,251.21,3355500.0,0.0,1.0,247.91,251.7,247.51,251.21,3355500.0,TSLA
3087,207,2017-03-06,846.86,848.94,841.17,847.27,1047872.0,0.0,1.0,846.86,848.94,841.17,847.27,1047872.0,GOOGL
1714,207,2017-03-06,173.8,175.15,173.16,173.41,19007.0,0.0,1.0,173.21901951799998,174.56450672369,172.58115891678003,172.83032321413003,19007.0,COKE
959,206,2017-03-07,251.92,253.89,248.32,248.59,3459470.0,0.0,1.0,251.92,253.89,248.32,248.59,3459470.0,TSLA
3086,206,2017-03-07,847.26,853.33,845.52,851.15,1038696.0,0.0,1.0,847.26,853.33,845.52,851.15,1038696.0,GOOGL
1713,206,2017-03-07,172.98,175.96,172.98,174.55,15968.0,0.0,1.0,172.40176062268998,175.37179904711002,172.40176062268998,173.96651241005,15968.0,COKE
2332,71,2017-03-07,45.5,45.915,45.49,45.73,5116841.0,0.0,1.0,45.5,45.915,45.49,45.73,5116841.0,YHOO
205,205,2017-03-07,139.06,139.98,138.79,139.52,17446297.0,0.0,1.0,137.93359425499,138.84614212436,137.66578129331998,138.38986818966998,17446297.0,AAPL
958,205,2017-03-08,247.0,250.07,245.32,246.87,3728649.0,0.0,1.0,247.0,250.07,245.32,246.87,3728649.0,TSLA
204,204,2017-03-08,138.95,139.8,138.82,139.0,18707236.0,0.0,1.0,137.82448527061,138.66760014991002,137.69553828906,137.87408026351002,18707236.0,AAPL
3085,205,2017-03-08,853.12,856.93,851.25,853.64,1029834.0,0.0,1.0,853.12,856.93,851.25,853.64,1029834.0,GOOGL
2331,70,2017-03-08,45.85,46.19,45.73,45.98,3331722.0,0.0,1.0,45.85,46.19,45.73,45.98,3331722.0,YHOO
1712,205,2017-03-08,174.56,175.99,172.19,174.35,28370.0,0.0,1.0,173.97647898195,175.40169876279,171.61440144306002,173.76718097217,28370.0,COKE
203,203,2017-03-09,138.74,138.79,137.05,138.68,22155904.0,0.0,1.0,137.61618630042,137.66578129331998,135.93987554039,137.55667230894,22155904.0,AAPL
3084,204,2017-03-09,853.69,860.71,852.67,857.84,1347697.0,0.0,1.0,853.69,860.71,852.67,857.84,1347697.0,GOOGL
2330,69,2017-03-09,45.87,46.12,45.68,45.94,3767567.0,0.0,1.0,45.87,46.12,45.68,45.94,3767567.0,YHOO
957,204,2017-03-09,247.63,248.66,243.0,244.9,3879293.0,0.0,1.0,247.63,248.66,243.0,244.9,3879293.0,TSLA
1711,204,2017-03-09,172.1,179.57,172.0,173.0,40767.0,0.0,1.0,171.52470229602,178.96973150085,171.42503657708,172.42169376648,40767.0,COKE
3083,203,2017-03-10,862.7,864.2289999999999,857.61,861.405,1336585.0,0.0,1.0,862.7,864.2289999999999,857.61,861.405,1336585.0,GOOGL
1710,203,2017-03-10,174.23,176.8453,171.32,171.74,21910.0,0.0,1.0,173.64758210944,176.25413965689,170.74730968828,171.16590570783,21910.0,COKE
956,203,2017-03-10,246.21,246.5,243.0,243.69,3066272.0,0.0,1.0,246.21,246.5,243.0,243.69,3066272.0,TSLA
2329,68,2017-03-10,46.2,46.2,45.75,45.98,3824529.0,0.0,1.0,46.2,46.2,45.75,45.98,3824529.0,YHOO
202,202,2017-03-10,139.25,139.3571,138.64,139.14,19612801.0,0.0,1.0,138.12205522801,138.2282877028,137.51699631462,138.01294624363,19612801.0,AAPL
955,202,2017-03-13,244.82,246.85,242.781,246.17,3022625.0,0.0,1.0,244.82,246.85,242.781,246.17,3022625.0,TSLA
3082,202,2017-03-13,860.83,867.13,860.82,864.58,1166605.0,0.0,1.0,860.83,867.13,860.82,864.58,1166605.0,GOOGL
201,201,2017-03-13,138.85,139.43,138.82,139.2,17421717.0,0.0,1.0,137.72529528479998,138.30059720245,137.69553828906,138.07246023511,17421717.0,AAPL
